iso,country_name,region,continent
BDI,Burundi ,East Africa ,Africa 
PRK,Korea Dem P Rep ,East Asia ,Asia 
GIN,Guinea ,West Africa ,Africa 
AGO,Angola ,Central Africa ,Africa 
NAM,Namibia ,Southern Africa ,Africa 
LUX,Luxembourg ,European Union ,Europe 
SWZ,Swaziland ,Southern Africa ,Africa 
PSE,Palestine (West Bank) ,West Asia ,Asia 
STP,Sao Tome et Principe ,Central Africa ,Africa 
TCA,Turks and Caicos Is ,Caribbean ,Americas 
BTN,Bhutan ,South Asia ,Asia 
SGP,Singapore ,South-east Asia ,Asia 
GNQ,Equatorial Guinea ,Central Africa ,Africa 
FSM,Micronesia Fed States ,Oceania ,Oceania 
GAB,Gabon ,Central Africa ,Africa 
VGB,Virgin Is (UK) ,Caribbean ,Americas 
GEO,Georgia ,Russian Federation ,Asia 
TJK,Tajikistan ,Russian Federation ,Asia 
YEM,Yemen ,West Asia ,Asia 
UKR,Ukraine ,Russian Federation ,Europe 
RUS,Russia ,Russian Federation ,Europe 
MHL,Marshall Is ,Oceania ,Oceania 
MLT,Malta ,Rest of Europe ,Europe 
SRB,Serbia Montenegro ,Rest of Europe ,Europe 
LTU,Lithuania ,Russian Federation ,Europe 
AZE,Azerbaijan ,Russian Federation ,Asia 
ARM,Armenia ,Russian Federation ,Asia 
UZB,Uzbekistan ,Russian Federation ,Asia 
KGZ,Kyrgyzstan ,Russian Federation ,Asia 
HRV,Croatia ,Rest of Europe ,Europe 
MKD,Macedonia FRY ,Rest of Europe ,Europe 
ERI,Eritrea ,East Africa ,Africa 
KAZ,Kazakhstan ,Russian Federation ,Asia 
TKM,Turkmenistan ,Russian Federation ,Asia 
EST,Estonia ,Russian Federation ,Europe 
MDA,Moldova Rep ,Russian Federation ,Europe 
VIR,Virgin Is (US) ,Caribbean ,Americas 
CZE,Czech Rep ,Rest of Europe ,Europe 
SVN,Slovenia ,Rest of Europe ,Europe 
SVK,Slovakia ,Rest of Europe ,Europe 
QAT,Qatar,West Asia ,Asia 
SYC,Seychelles ,East Africa ,Africa 
GUF,French Guiana ,South America ,Americas 
PLW,Palau ,Oceania ,Oceania 
KWT,Kuwait ,West Asia ,Asia 
BIH,Bosnia-Hercegovenia ,Rest of Europe ,Europe 
LVA,Latvia ,Russian Federation ,Europe 
SHN,St Helena ,West Africa ,Africa 
TMP,East Timor ,South-east Asia ,Asia 
CYM,Cayman Islands ,Caribbean ,Americas 
